X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,7.42E-05,2.00E-09
392,1.54E+01,2.00E-01,,
393,1.56E+01,2.00E-01,,
394,1.56E+01,2.00E-01,,
395,1.58E+01,2.00E-01,,
396,1.56E+01,-2.00E-01,,
397,1.56E+01,2.00E-01,,
398,1.56E+01,2.00E-01,,
399,1.58E+01,-2.00E-01,,
400,1.54E+01,2.00E-01,,
401,1.58E+01,-2.00E-01,,
402,1.56E+01,2.00E-01,,
403,1.58E+01,2.00E-01,,
404,1.56E+01,-2.00E-01,,
405,1.56E+01,2.00E-01,,
406,1.56E+01,2.00E-01,,
407,1.56E+01,2.00E-01,,
408,1.54E+01,-2.00E-01,,
409,1.58E+01,2.00E-01,,
410,1.56E+01,2.00E-01,,
411,1.58E+01,2.00E-01,,
412,1.54E+01,-2.00E-01,,
413,1.56E+01,2.00E-01,,
414,1.56E+01,2.00E-01,,
415,1.56E+01,-2.00E-01,,
416,1.54E+01,2.00E-01,,
417,1.56E+01,2.00E-01,,
418,1.56E+01,2.00E-01,,
419,1.56E+01,2.00E-01,,
420,1.54E+01,-2.00E-01,,
421,1.58E+01,2.00E-01,,
422,1.56E+01,2.00E-01,,
423,1.58E+01,2.00E-01,,
424,1.54E+01,2.00E-01,,
425,1.56E+01,2.00E-01,,
426,1.56E+01,2.00E-01,,
427,1.58E+01,2.00E-01,,
428,1.54E+01,-2.00E-01,,
429,1.56E+01,2.00E-01,,
430,1.56E+01,-2.00E-01,,
431,1.58E+01,2.00E-01,,
432,1.56E+01,-2.00E-01,,
433,1.58E+01,2.00E-01,,
434,1.56E+01,2.00E-01,,
435,1.58E+01,2.00E-01,,
436,1.56E+01,-2.00E-01,,
437,1.56E+01,2.00E-01,,
438,1.56E+01,2.00E-01,,
439,1.58E+01,-2.00E-01,,
440,1.54E+01,-2.00E-01,,
441,1.58E+01,2.00E-01,,
442,1.56E+01,2.00E-01,,
443,1.58E+01,2.00E-01,,
444,1.54E+01,-2.00E-01,,
445,1.58E+01,2.00E-01,,
446,1.56E+01,2.00E-01,,
447,1.58E+01,2.00E-01,,
448,1.54E+01,2.00E-01,,
449,1.58E+01,2.00E-01,,
450,1.56E+01,2.00E-01,,
451,1.58E+01,2.00E-01,,
452,1.56E+01,-2.00E-01,,
453,1.56E+01,2.00E-01,,
454,1.56E+01,2.00E-01,,
455,1.58E+01,-2.00E-01,,
456,1.54E+01,2.00E-01,,
457,1.56E+01,2.00E-01,,
458,1.56E+01,2.00E-01,,
459,1.58E+01,2.00E-01,,
460,1.54E+01,-2.00E-01,,
461,1.56E+01,-2.00E-01,,
462,1.56E+01,2.00E-01,,
463,1.58E+01,-2.00E-01,,
464,1.54E+01,2.00E-01,,
465,1.58E+01,2.00E-01,,
466,1.56E+01,2.00E-01,,
467,1.58E+01,2.00E-01,,
468,1.54E+01,-2.00E-01,,
469,1.56E+01,2.00E-01,,
470,1.56E+01,2.00E-01,,
471,1.58E+01,2.00E-01,,
472,1.54E+01,2.00E-01,,
473,1.58E+01,2.00E-01,,
474,1.56E+01,2.00E-01,,
475,1.58E+01,2.00E-01,,
476,1.56E+01,2.00E-01,,
477,1.56E+01,2.00E-01,,
478,1.56E+01,2.00E-01,,
479,1.56E+01,2.00E-01,,
480,1.54E+01,2.00E-01,,
481,1.58E+01,2.00E-01,,
482,1.56E+01,2.00E-01,,
483,1.56E+01,2.00E-01,,
484,1.56E+01,2.00E-01,,
485,1.58E+01,2.00E-01,,
486,1.56E+01,2.00E-01,,
487,1.58E+01,2.00E-01,,
488,1.56E+01,2.00E-01,,
489,1.58E+01,2.00E-01,,
490,1.56E+01,2.00E-01,,
491,1.58E+01,2.00E-01,,
492,1.54E+01,-2.00E-01,,
493,1.56E+01,2.00E-01,,
494,1.56E+01,-2.00E-01,,
495,1.58E+01,2.00E-01,,
496,1.54E+01,2.00E-01,,
497,1.56E+01,2.00E-01,,
498,1.56E+01,2.00E-01,,
499,1.58E+01,2.00E-01,,
500,1.54E+01,2.00E-01,,
501,1.58E+01,2.00E-01,,
502,1.56E+01,2.00E-01,,
503,1.58E+01,2.00E-01,,
504,1.54E+01,2.00E-01,,
505,1.56E+01,2.00E-01,,
506,1.56E+01,2.00E-01,,
507,1.58E+01,2.00E-01,,
508,1.54E+01,-2.00E-01,,
509,1.56E+01,2.00E-01,,
510,1.56E+01,2.00E-01,,
511,1.56E+01,2.00E-01,,
512,1.54E+01,2.00E-01,,
513,1.58E+01,2.00E-01,,
514,1.56E+01,2.00E-01,,
515,1.58E+01,2.00E-01,,
516,1.54E+01,-2.00E-01,,
517,1.56E+01,2.00E-01,,
518,1.56E+01,2.00E-01,,
519,1.58E+01,2.00E-01,,
520,1.54E+01,2.00E-01,,
521,1.58E+01,2.00E-01,,
522,1.56E+01,2.00E-01,,
523,1.56E+01,2.00E-01,,
524,1.56E+01,-2.00E-01,,
525,1.58E+01,2.00E-01,,
526,1.56E+01,2.00E-01,,
527,1.58E+01,2.00E-01,,
528,1.54E+01,2.00E-01,,
529,1.56E+01,2.00E-01,,
530,1.56E+01,2.00E-01,,
531,1.58E+01,2.00E-01,,
532,1.54E+01,-2.00E-01,,
533,1.56E+01,2.00E-01,,
534,1.56E+01,2.00E-01,,
535,1.58E+01,2.00E-01,,
536,1.54E+01,2.00E-01,,
537,1.56E+01,-2.00E-01,,
538,1.56E+01,2.00E-01,,
539,1.58E+01,2.00E-01,,
540,1.56E+01,-2.00E-01,,
541,1.58E+01,2.00E-01,,
542,1.56E+01,2.00E-01,,
543,1.58E+01,2.00E-01,,
544,1.54E+01,2.00E-01,,
545,1.58E+01,2.00E-01,,
546,1.56E+01,2.00E-01,,
547,1.58E+01,2.00E-01,,
548,1.56E+01,-2.00E-01,,
549,1.56E+01,2.00E-01,,
550,1.56E+01,2.00E-01,,
551,1.58E+01,2.00E-01,,
552,1.54E+01,2.00E-01,,
553,1.56E+01,2.00E-01,,
554,1.56E+01,2.00E-01,,
555,1.58E+01,2.00E-01,,
556,1.54E+01,-2.00E-01,,
557,1.58E+01,2.00E-01,,
558,1.56E+01,-2.00E-01,,
559,1.58E+01,2.00E-01,,
560,1.54E+01,2.00E-01,,
561,1.58E+01,2.00E-01,,
562,1.56E+01,2.00E-01,,
563,1.56E+01,2.00E-01,,
564,1.56E+01,2.00E-01,,
565,1.56E+01,2.00E-01,,
566,1.56E+01,2.00E-01,,
567,1.56E+01,2.00E-01,,
568,1.54E+01,2.00E-01,,
569,1.56E+01,2.00E-01,,
570,1.56E+01,2.00E-01,,
571,1.58E+01,2.00E-01,,
572,1.54E+01,-2.00E-01,,
573,1.56E+01,2.00E-01,,
574,1.56E+01,2.00E-01,,
575,1.58E+01,-2.00E-01,,
576,1.54E+01,2.00E-01,,
577,1.56E+01,2.00E-01,,
578,1.56E+01,2.00E-01,,
579,1.58E+01,2.00E-01,,
580,1.56E+01,-2.00E-01,,
581,1.56E+01,2.00E-01,,
582,1.56E+01,2.00E-01,,
583,1.58E+01,2.00E-01,,
584,1.54E+01,2.00E-01,,
585,1.56E+01,2.00E-01,,
586,1.56E+01,2.00E-01,,
587,1.58E+01,2.00E-01,,
588,1.54E+01,-2.00E-01,,
589,1.56E+01,2.00E-01,,
590,1.56E+01,2.00E-01,,
591,1.56E+01,2.00E-01,,
592,1.54E+01,2.00E-01,,
593,1.58E+01,2.00E-01,,
594,1.56E+01,2.00E-01,,
595,1.58E+01,2.00E-01,,
596,1.56E+01,-2.00E-01,,
597,1.56E+01,2.00E-01,,
598,1.56E+01,2.00E-01,,
599,1.58E+01,-2.00E-01,,
600,1.54E+01,2.00E-01,,
601,1.58E+01,-2.00E-01,,
602,1.56E+01,2.00E-01,,
603,1.58E+01,2.00E-01,,
604,1.56E+01,-2.00E-01,,
605,1.56E+01,2.00E-01,,
606,1.56E+01,2.00E-01,,
607,1.58E+01,2.00E-01,,
608,1.56E+01,2.00E-01,,
609,1.58E+01,2.00E-01,,
610,1.56E+01,2.00E-01,,
611,1.58E+01,2.00E-01,,
612,1.54E+01,2.00E-01,,
613,1.58E+01,2.00E-01,,
614,1.56E+01,2.00E-01,,
615,1.58E+01,2.00E-01,,
616,1.54E+01,2.00E-01,,
617,1.56E+01,2.00E-01,,
618,1.56E+01,2.00E-01,,
619,1.58E+01,2.00E-01,,
620,1.56E+01,-2.00E-01,,
621,1.56E+01,2.00E-01,,
622,1.56E+01,2.00E-01,,
623,1.58E+01,2.00E-01,,
624,1.54E+01,2.00E-01,,
625,1.58E+01,2.00E-01,,
626,1.56E+01,2.00E-01,,
627,1.58E+01,2.00E-01,,
628,1.54E+01,-2.00E-01,,
629,1.56E+01,2.00E-01,,
630,1.56E+01,2.00E-01,,
631,1.58E+01,2.00E-01,,
632,1.54E+01,2.00E-01,,
633,1.58E+01,2.00E-01,,
634,1.56E+01,-2.00E-01,,
635,1.58E+01,2.00E-01,,
636,1.54E+01,-2.00E-01,,
637,1.58E+01,2.00E-01,,
638,1.56E+01,2.00E-01,,
639,1.56E+01,2.00E-01,,
640,1.54E+01,2.00E-01,,
641,1.56E+01,2.00E-01,,
642,1.56E+01,2.00E-01,,
643,1.58E+01,2.00E-01,,
644,1.54E+01,2.00E-01,,
645,1.58E+01,2.00E-01,,
646,1.56E+01,2.00E-01,,
647,1.56E+01,2.00E-01,,
648,1.54E+01,2.00E-01,,
649,1.56E+01,2.00E-01,,
650,1.56E+01,2.00E-01,,
651,1.58E+01,2.00E-01,,
652,1.56E+01,-2.00E-01,,
653,1.56E+01,2.00E-01,,
654,1.56E+01,2.00E-01,,
655,1.58E+01,2.00E-01,,
656,1.54E+01,2.00E-01,,
657,1.58E+01,2.00E-01,,
658,1.56E+01,2.00E-01,,
659,1.58E+01,2.00E-01,,
660,1.56E+01,-2.00E-01,,
661,1.56E+01,2.00E-01,,
662,1.56E+01,2.00E-01,,
663,1.58E+01,2.00E-01,,
664,1.54E+01,2.00E-01,,
665,1.56E+01,2.00E-01,,
666,1.56E+01,2.00E-01,,
667,1.58E+01,2.00E-01,,
668,1.56E+01,-2.00E-01,,
669,1.56E+01,2.00E-01,,
670,1.56E+01,2.00E-01,,
671,1.58E+01,2.00E-01,,
672,1.54E+01,2.00E-01,,
673,1.56E+01,2.00E-01,,
674,1.56E+01,2.00E-01,,
675,1.58E+01,2.00E-01,,
676,1.54E+01,2.00E-01,,
677,1.58E+01,2.00E-01,,
678,1.56E+01,2.00E-01,,
679,1.58E+01,2.00E-01,,
680,1.54E+01,2.00E-01,,
681,1.56E+01,2.00E-01,,
682,1.56E+01,2.00E-01,,
683,1.58E+01,2.00E-01,,
684,1.54E+01,2.00E-01,,
685,1.58E+01,2.00E-01,,
686,1.56E+01,2.00E-01,,
687,1.58E+01,2.00E-01,,
688,1.54E+01,2.00E-01,,
689,1.56E+01,2.00E-01,,
690,1.56E+01,2.00E-01,,
691,1.58E+01,2.00E-01,,
692,1.56E+01,2.00E-01,,
693,1.56E+01,2.00E-01,,
694,1.56E+01,2.00E-01,,
695,1.58E+01,2.00E-01,,
696,1.56E+01,2.00E-01,,
697,1.56E+01,2.00E-01,,
698,1.56E+01,2.00E-01,,
699,1.58E+01,2.00E-01,,
700,1.54E+01,-2.00E-01,,
701,1.58E+01,2.00E-01,,
702,1.56E+01,2.00E-01,,
703,1.58E+01,2.00E-01,,
704,1.54E+01,2.00E-01,,
705,1.58E+01,2.00E-01,,
706,1.56E+01,2.00E-01,,
707,1.58E+01,2.00E-01,,
708,1.56E+01,-2.00E-01,,
709,1.56E+01,2.00E-01,,
710,1.56E+01,2.00E-01,,
711,1.58E+01,2.00E-01,,
712,1.54E+01,2.00E-01,,
713,1.56E+01,2.00E-01,,
714,1.56E+01,2.00E-01,,
715,1.58E+01,2.00E-01,,
716,1.54E+01,2.00E-01,,
717,1.56E+01,2.00E-01,,
718,1.56E+01,2.00E-01,,
719,1.56E+01,2.00E-01,,
720,1.54E+01,2.00E-01,,
721,1.56E+01,2.00E-01,,
722,1.56E+01,2.00E-01,,
723,1.58E+01,2.00E-01,,
724,1.54E+01,2.00E-01,,
725,1.58E+01,2.00E-01,,
726,1.56E+01,2.00E-01,,
727,1.56E+01,-2.00E-01,,
728,1.54E+01,2.00E-01,,
729,1.56E+01,2.00E-01,,
730,1.56E+01,2.00E-01,,
731,1.56E+01,2.00E-01,,
732,1.56E+01,-2.00E-01,,
733,1.56E+01,2.00E-01,,
734,1.56E+01,2.00E-01,,
735,1.58E+01,2.00E-01,,
736,1.56E+01,2.00E-01,,
737,1.58E+01,2.00E-01,,
738,1.56E+01,2.00E-01,,
739,1.58E+01,2.00E-01,,
740,1.56E+01,-2.00E-01,,
741,1.58E+01,2.00E-01,,
742,1.56E+01,2.00E-01,,
743,1.56E+01,2.00E-01,,
744,1.56E+01,2.00E-01,,
745,1.58E+01,2.00E-01,,
746,1.56E+01,2.00E-01,,
747,1.58E+01,2.00E-01,,
748,1.54E+01,-2.00E-01,,
749,1.56E+01,2.00E-01,,
750,1.56E+01,2.00E-01,,
751,1.58E+01,2.00E-01,,
752,1.54E+01,2.00E-01,,
753,1.56E+01,2.00E-01,,
754,1.56E+01,2.00E-01,,
755,1.56E+01,2.00E-01,,
756,1.54E+01,-2.00E-01,,
757,1.56E+01,2.00E-01,,
758,1.56E+01,2.00E-01,,
759,1.56E+01,2.00E-01,,
760,1.54E+01,2.00E-01,,
