X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-1.19E-04,2.00E-07
332,1.60E+00,1.58E+01,1.62E+01,,
333,1.56E+00,1.63E+01,1.58E+01,,
334,1.60E+00,1.62E+01,1.60E+01,,
335,1.58E+00,1.61E+01,1.58E+01,,
336,1.58E+00,1.62E+01,1.59E+01,,
337,1.62E+00,1.60E+01,1.60E+01,,
338,1.60E+00,1.61E+01,1.58E+01,,
339,1.58E+00,1.60E+01,1.60E+01,,
340,1.60E+00,1.61E+01,1.59E+01,,
341,1.58E+00,1.60E+01,1.59E+01,,
342,1.60E+00,1.61E+01,1.58E+01,,
343,1.56E+00,1.60E+01,1.60E+01,,
344,1.60E+00,1.60E+01,1.59E+01,,
345,1.58E+00,1.60E+01,1.58E+01,,
346,1.62E+00,1.60E+01,1.59E+01,,
347,1.56E+00,1.59E+01,1.58E+01,,
348,1.60E+00,1.60E+01,1.59E+01,,
349,1.56E+00,1.59E+01,1.57E+01,,
350,1.60E+00,1.60E+01,1.58E+01,,
351,1.58E+00,1.59E+01,1.59E+01,,
352,1.60E+00,1.60E+01,1.59E+01,,
353,1.58E+00,1.58E+01,1.57E+01,,
354,1.60E+00,1.58E+01,1.57E+01,,
355,1.58E+00,1.60E+01,1.58E+01,,
356,1.60E+00,1.59E+01,1.58E+01,,
357,1.56E+00,1.58E+01,1.57E+01,,
358,1.58E+00,1.59E+01,1.58E+01,,
359,1.60E+00,1.58E+01,1.57E+01,,
360,1.60E+00,1.59E+01,1.58E+01,,
361,1.56E+00,1.58E+01,1.57E+01,,
362,1.60E+00,1.58E+01,1.57E+01,,
363,1.58E+00,1.57E+01,1.56E+01,,
364,1.60E+00,1.58E+01,1.58E+01,,
365,1.56E+00,1.57E+01,1.56E+01,,
366,1.22E+00,1.38E+01,1.36E+01,,
367,1.86E+00,1.89E+01,1.87E+01,,
368,1.52E+00,1.60E+01,1.62E+01,,
369,1.64E+00,1.54E+01,1.55E+01,,
370,1.60E+00,1.56E+01,1.60E+01,,
371,1.56E+00,1.59E+01,1.57E+01,,
372,1.60E+00,1.58E+01,1.58E+01,,
373,1.56E+00,1.56E+01,1.59E+01,,
374,1.64E+00,1.57E+01,1.58E+01,,
375,1.56E+00,1.56E+01,1.60E+01,,
376,1.60E+00,1.57E+01,1.59E+01,,
377,1.58E+00,1.56E+01,1.60E+01,,
378,1.60E+00,1.57E+01,1.59E+01,,
379,1.56E+00,1.55E+01,1.60E+01,,
380,1.60E+00,1.56E+01,1.60E+01,,
381,1.56E+00,1.55E+01,1.61E+01,,
382,9.60E-01,1.38E+01,1.36E+01,,
383,1.98E+00,1.89E+01,1.87E+01,,
384,1.86E+00,1.89E+01,1.77E+01,,
385,1.44E+00,1.39E+01,1.39E+01,,
386,1.56E+00,1.53E+01,1.59E+01,,
387,1.64E+00,1.59E+01,1.65E+01,,
388,1.60E+00,1.57E+01,1.61E+01,,
389,1.56E+00,1.58E+01,1.63E+01,,
390,1.60E+00,1.57E+01,1.62E+01,,
391,1.58E+00,1.59E+01,1.62E+01,,
392,1.60E+00,1.58E+01,1.62E+01,,
393,1.56E+00,1.59E+01,1.63E+01,,
394,1.60E+00,1.59E+01,1.63E+01,,
395,1.56E+00,1.58E+01,1.62E+01,,
396,1.56E+00,1.57E+01,1.54E+01,,
397,1.64E+00,1.61E+01,1.73E+01,,
398,1.60E+00,1.58E+01,1.59E+01,,
399,1.56E+00,1.60E+01,1.63E+01,,
400,1.60E+00,1.59E+01,1.60E+01,,
401,1.56E+00,1.60E+01,1.62E+01,,
402,1.60E+00,1.61E+01,1.61E+01,,
403,1.58E+00,1.60E+01,1.61E+01,,
404,1.60E+00,1.60E+01,1.61E+01,,
405,1.56E+00,1.62E+01,1.61E+01,,
406,1.58E+00,1.60E+01,1.61E+01,,
407,1.62E+00,1.62E+01,1.61E+01,,
408,1.60E+00,1.61E+01,1.61E+01,,
409,1.56E+00,1.62E+01,1.60E+01,,
410,1.60E+00,1.63E+01,1.61E+01,,
411,1.58E+00,1.61E+01,1.60E+01,,
412,1.56E+00,1.59E+01,1.58E+01,,
413,1.64E+00,1.65E+01,1.61E+01,,
414,1.56E+00,1.59E+01,1.61E+01,,
415,1.62E+00,1.63E+01,1.59E+01,,
416,1.58E+00,1.61E+01,1.60E+01,,
417,1.60E+00,1.62E+01,1.58E+01,,
418,1.60E+00,1.62E+01,1.59E+01,,
419,1.58E+00,1.61E+01,1.58E+01,,
420,1.60E+00,1.61E+01,1.60E+01,,
421,1.58E+00,1.62E+01,1.58E+01,,
422,1.58E+00,1.61E+01,1.60E+01,,
423,1.62E+00,1.60E+01,1.58E+01,,
424,1.60E+00,1.61E+01,1.58E+01,,
425,1.58E+00,1.60E+01,1.59E+01,,
426,1.58E+00,1.61E+01,1.60E+01,,
427,1.62E+00,1.60E+01,1.57E+01,,
428,1.60E+00,1.59E+01,1.59E+01,,
429,1.58E+00,1.60E+01,1.58E+01,,
430,1.60E+00,1.59E+01,1.59E+01,,
431,1.58E+00,1.60E+01,1.58E+01,,
432,1.60E+00,1.59E+01,1.59E+01,,
433,1.58E+00,1.60E+01,1.58E+01,,
434,1.60E+00,1.60E+01,1.57E+01,,
435,1.58E+00,1.59E+01,1.59E+01,,
436,1.60E+00,1.58E+01,1.59E+01,,
437,1.56E+00,1.59E+01,1.57E+01,,
438,1.60E+00,1.59E+01,1.57E+01,,
439,1.58E+00,1.58E+01,1.58E+01,,
440,1.60E+00,1.58E+01,1.58E+01,,
441,1.56E+00,1.59E+01,1.57E+01,,
442,1.60E+00,1.59E+01,1.57E+01,,
443,1.58E+00,1.57E+01,1.56E+01,,
444,1.60E+00,1.59E+01,1.57E+01,,
445,1.56E+00,1.57E+01,1.56E+01,,
446,1.60E+00,1.57E+01,1.58E+01,,
447,1.56E+00,1.58E+01,1.56E+01,,
448,1.22E+00,1.38E+01,1.36E+01,,
449,1.84E+00,1.89E+01,1.87E+01,,
450,1.54E+00,1.60E+01,1.62E+01,,
451,1.64E+00,1.54E+01,1.55E+01,,
452,1.60E+00,1.59E+01,1.58E+01,,
453,1.56E+00,1.56E+01,1.60E+01,,
454,1.58E+00,1.58E+01,1.58E+01,,
455,1.60E+00,1.56E+01,1.59E+01,,
456,1.58E+00,1.56E+01,1.58E+01,,
457,1.60E+00,1.57E+01,1.60E+01,,
458,1.60E+00,1.56E+01,1.60E+01,,
459,1.56E+00,1.55E+01,1.58E+01,,
460,1.60E+00,1.57E+01,1.59E+01,,
461,1.56E+00,1.55E+01,1.60E+01,,
462,1.60E+00,1.55E+01,1.60E+01,,
463,1.56E+00,1.56E+01,1.61E+01,,
464,9.60E-01,1.38E+01,1.36E+01,,
465,1.98E+00,1.89E+01,1.87E+01,,
466,1.86E+00,1.89E+01,1.77E+01,,
467,1.46E+00,1.38E+01,1.38E+01,,
468,1.56E+00,1.54E+01,1.58E+01,,
469,1.62E+00,1.59E+01,1.65E+01,,
470,1.60E+00,1.58E+01,1.63E+01,,
471,1.56E+00,1.57E+01,1.61E+01,,
472,1.60E+00,1.57E+01,1.61E+01,,
473,1.56E+00,1.58E+01,1.62E+01,,
474,1.60E+00,1.58E+01,1.62E+01,,
475,1.56E+00,1.59E+01,1.63E+01,,
476,1.60E+00,1.60E+01,1.62E+01,,
477,1.56E+00,1.58E+01,1.64E+01,,
478,1.60E+00,1.57E+01,1.54E+01,,
479,1.56E+00,1.61E+01,1.73E+01,,
480,1.60E+00,1.59E+01,1.58E+01,,
481,1.56E+00,1.60E+01,1.63E+01,,
482,1.60E+00,1.59E+01,1.62E+01,,
483,1.56E+00,1.60E+01,1.60E+01,,
484,1.60E+00,1.61E+01,1.60E+01,,
485,1.56E+00,1.60E+01,1.62E+01,,
486,1.60E+00,1.60E+01,1.60E+01,,
487,1.56E+00,1.61E+01,1.61E+01,,
488,1.58E+00,1.61E+01,1.61E+01,,
489,1.60E+00,1.61E+01,1.60E+01,,
490,1.60E+00,1.61E+01,1.60E+01,,
491,1.58E+00,1.62E+01,1.61E+01,,
492,1.60E+00,1.61E+01,1.61E+01,,
493,1.56E+00,1.62E+01,1.60E+01,,
494,1.56E+00,1.59E+01,1.61E+01,,
495,1.66E+00,1.64E+01,1.57E+01,,
496,1.60E+00,1.58E+01,1.62E+01,,
497,1.56E+00,1.62E+01,1.58E+01,,
498,1.60E+00,1.62E+01,1.59E+01,,
499,1.56E+00,1.61E+01,1.59E+01,,
500,1.60E+00,1.60E+01,1.60E+01,,
501,1.56E+00,1.62E+01,1.58E+01,,
502,1.56E+00,1.62E+01,1.58E+01,,
503,1.60E+00,1.60E+01,1.60E+01,,
504,1.60E+00,1.60E+01,1.58E+01,,
505,1.58E+00,1.61E+01,1.60E+01,,
506,1.60E+00,1.61E+01,1.60E+01,,
507,1.58E+00,1.59E+01,1.58E+01,,
508,1.60E+00,1.61E+01,1.58E+01,,
509,1.56E+00,1.59E+01,1.59E+01,,
510,1.60E+00,1.61E+01,1.58E+01,,
511,1.58E+00,1.59E+01,1.59E+01,,
512,1.60E+00,1.60E+01,1.59E+01,,
513,1.56E+00,1.59E+01,1.57E+01,,
514,1.60E+00,1.60E+01,1.58E+01,,
515,1.58E+00,1.59E+01,1.57E+01,,
516,1.60E+00,1.59E+01,1.58E+01,,
517,1.56E+00,1.59E+01,1.57E+01,,
518,1.60E+00,1.59E+01,1.57E+01,,
519,1.58E+00,1.58E+01,1.58E+01,,
520,1.60E+00,1.59E+01,1.57E+01,,
521,1.56E+00,1.57E+01,1.58E+01,,
522,1.60E+00,1.59E+01,1.57E+01,,
523,1.58E+00,1.58E+01,1.57E+01,,
524,1.60E+00,1.59E+01,1.56E+01,,
525,1.56E+00,1.57E+01,1.58E+01,,
526,1.60E+00,1.57E+01,1.56E+01,,
527,1.58E+00,1.59E+01,1.57E+01,,
528,1.60E+00,1.59E+01,1.56E+01,,
529,1.58E+00,1.57E+01,1.57E+01,,
530,1.22E+00,1.38E+01,1.36E+01,,
531,1.84E+00,1.89E+01,1.86E+01,,
532,1.50E+00,1.59E+01,1.53E+01,,
533,1.64E+00,1.54E+01,1.62E+01,,
534,1.60E+00,1.59E+01,1.60E+01,,
535,1.56E+00,1.56E+01,1.57E+01,,
536,1.60E+00,1.57E+01,1.58E+01,,
537,1.56E+00,1.56E+01,1.60E+01,,
538,1.60E+00,1.57E+01,1.58E+01,,
539,1.56E+00,1.56E+01,1.60E+01,,
540,1.60E+00,1.57E+01,1.59E+01,,
541,1.56E+00,1.56E+01,1.60E+01,,
542,1.60E+00,1.57E+01,1.59E+01,,
543,1.56E+00,1.55E+01,1.60E+01,,
544,1.60E+00,1.55E+01,1.61E+01,,
545,1.56E+00,1.56E+01,1.60E+01,,
546,2.08E+00,1.38E+01,1.36E+01,,
547,1.04E+00,1.89E+01,1.87E+01,,
548,1.84E+00,1.89E+01,1.40E+01,,
549,1.46E+00,1.38E+01,1.77E+01,,
550,1.60E+00,1.54E+01,1.58E+01,,
